tectonic_unit,strat_unit,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Subalpine Molasse,USM,104,outcrop,551900,161650,6.810839,46.604372,,0,0.47,0.07,60,0,,PhD thesis Roland Schegg (1993),1589.2320199652404,1589.2320199652404,135964.26095771953
Subalpine Molasse,USM,2036,outcrop,552200,156400,6.8153,46.557168,625.0,0,0.63,0.08,73,0,,PhD thesis Roland Schegg (1993),-3048.446574819995,-3048.446574819995,137819.99149729285
Subalpine Molasse,USM,2037,outcrop,552200,156400,6.8153,46.557168,625.0,0,0.46,0.05,50,0,,PhD thesis Roland Schegg (1993),-3048.446574819995,-3048.446574819995,137819.99149729285
Subalpine Molasse,USM,2038,outcrop,552300,156450,6.816599000000001,46.557625,625.0,0,0.43,0.05,50,0,,PhD thesis Roland Schegg (1993),-2955.7911833435955,-2955.7911833435955,137819.99149729285
Subalpine Molasse,USM,2039,outcrop,552300,154675,6.816783,46.541658,660.0,0,0.39,0.03,50,0,,PhD thesis Roland Schegg (1993),-4579.1675972157855,-4579.1675972157855,132610.42065321963
Subalpine Molasse,USM,354,outcrop,622075,181250,7.7277059999999995,46.782057,750.0,0,0.65,0.06,50,0,,PhD thesis Roland Schegg (1993),-2505.983056508331,-2505.983056508331,214929.15908670475
Subalpine Molasse,USM,355,outcrop,624050,178275,7.753413,46.755228,1160.0,0,0.48,0.03,50,0,,PhD thesis Roland Schegg (1993),-6060.388232314336,-6060.388232314336,215271.78346678638
Subalpine Molasse,USM,356,outcrop,621150,181150,7.715589,46.781187,915.0,0,0.5,0.05,52,0,,PhD thesis Roland Schegg (1993),-2115.6943786364322,-2115.6943786364322,213926.8346112487
Subalpine Molasse,USM,357,outcrop,624575,184750,7.760631,46.813453,945.0,0,0.6,0.03,50,0,,PhD thesis Roland Schegg (1993),-481.4771104534611,-481.4771104534611,218818.2005907173
Subalpine Molasse,USM,358,outcrop,617750,181400,7.671077,46.783535,680.0,0,0.54,0.03,50,0,,PhD thesis Roland Schegg (1993),-156.98138760476172,-156.98138760476172,211163.91164301804
